2026-05-09:15:19:14	root	WARNING	[Functions.py:325]	Using blacklisted terms!
2026-05-09:15:19:14	root	INFO	[Classes.py:1806]	from URLs [get] http://localhost/dams/doctor/new-appointment.php 
2026-05-09:15:19:14	root	WARNING	[Functions.py:325]	Using blacklisted terms!
2026-05-09:15:19:14	root	INFO	[Classes.py:1806]	from URLs [get] http://localhost/dams/doctor/profile.php 
2026-05-09:15:19:14	root	WARNING	[Functions.py:325]	Using blacklisted terms!
2026-05-09:15:19:14	root	INFO	[Classes.py:1806]	from URLs [get] http://localhost/dams/doctor/dashboard.php# 
2026-05-09:15:19:14	root	WARNING	[Functions.py:325]	Using blacklisted terms!
2026-05-09:15:19:14	root	INFO	[Classes.py:1806]	from URLs [get] http://localhost/dams/doctor/all-appointment.php 
2026-05-09:15:19:14	root	WARNING	[Functions.py:325]	Using blacklisted terms!
2026-05-09:15:19:14	root	INFO	[Classes.py:1814]	Adding requests from froms
2026-05-09:15:19:14	root	INFO	[Classes.py:1825]	Adding requests from events
2026-05-09:15:19:14	root	INFO	[Classes.py:1828]	from events [event] http://localhost/dams/doctor/dashboard.php 
2026-05-09:15:19:14	root	INFO	[Classes.py:1828]	from events [event] http://localhost/dams/doctor/dashboard.php 
2026-05-09:15:19:14	root	INFO	[Classes.py:135]	failed to add node [event] http://localhost/dams/doctor/dashboard.php, already added
2026-05-09:15:19:14	root	INFO	[Classes.py:1828]	from events [event] http://localhost/dams/doctor/dashboard.php 
2026-05-09:15:19:14	root	INFO	[Classes.py:135]	failed to add node [event] http://localhost/dams/doctor/dashboard.php, already added
2026-05-09:15:19:14	root	INFO	[Classes.py:1828]	from events [event] http://localhost/dams/doctor/dashboard.php 
2026-05-09:15:19:14	root	INFO	[Classes.py:135]	failed to add node [event] http://localhost/dams/doctor/dashboard.php, already added
2026-05-09:15:19:14	root	INFO	[Classes.py:1828]	from events [event] http://localhost/dams/doctor/dashboard.php 
2026-05-09:15:19:14	root	INFO	[Classes.py:135]	failed to add node [event] http://localhost/dams/doctor/dashboard.php, already added
2026-05-09:15:19:14	root	INFO	[Classes.py:1828]	from events [event] http://localhost/dams/doctor/dashboard.php 
2026-05-09:15:19:14	root	INFO	[Classes.py:135]	failed to add node [event] http://localhost/dams/doctor/dashboard.php, already added
2026-05-09:15:19:14	root	INFO	[Classes.py:1828]	from events [event] http://localhost/dams/doctor/dashboard.php 
2026-05-09:15:19:14	root	INFO	[Classes.py:135]	failed to add node [event] http://localhost/dams/doctor/dashboard.php, already added
2026-05-09:15:19:14	root	INFO	[Classes.py:1828]	from events [event] http://localhost/dams/doctor/dashboard.php 
2026-05-09:15:19:14	root	INFO	[Classes.py:135]	failed to add node [event] http://localhost/dams/doctor/dashboard.php, already added
2026-05-09:15:19:14	root	INFO	[Classes.py:1828]	from events [event] http://localhost/dams/doctor/dashboard.php 
2026-05-09:15:19:14	root	INFO	[Classes.py:1835]	Not allowed to add edge: [get] http://localhost/dams/doctor/dashboard.php -(event Event(onerror, /html/body/script[11])[False])-> [event] http://localhost/dams/doctor/dashboard.php
